model,effort,task,run_id,combined_33,combined_20_profile,functional_pct,automated_quality_pct,security_pct,code_quality,reviewed_score,intent_recovery,intent_recovery_redistributed,muse_reviewed,muse_readability,muse_maintainability,muse_intent_recovery,grok_reviewed,grok_readability,grok_maintainability,grok_intent_recovery,passed_quirk_families,duration_s,raw_tokens,estimated_usd,started_at,finished_at,solver_cli_version,evidence_sha256
luna,max,legacy-qlite-store-parity,legacy-qlite-store-parity-39911d07,87.4284,90.2703,100.00,78.57,100.00,67.4242,62.5000,80.5556,False,58.3333,50.0000,66.6667,77.7778,66.6667,62.5000,70.8333,83.3333,9,1343.334,4268215,0.193335,2026-09-13T17:47:39.239669+00:00,2026-09-13T18:10:02.583488+00:00,codex-cli 0.153.4,d2ef4509afdb490188f1beb9cd5f691be65a7484a3b36fe8005945c2ec341816
luna,max,legacy-queuecore-binary-parity,legacy-queuecore-binary-parity-bd83aaac,73.7643,77.1643,75.00,79.58,100.00,63.6364,59.3750,75.0000,False,56.2500,45.8333,66.6667,100.0000,62.5000,58.3333,66.6667,50.0000,6,1040.592,2608747,0.146509,2026-09-13T20:14:49.684552+00:00,2026-09-13T20:32:10.284606+00:00,codex-cli 0.153.4,787e0b60af5b6f919932484a47b72280bbb7ce31b33e6e400f413f82be267ef8
luna,max,legacy-quotacore-binary-parity,legacy-quotacore-binary-parity-951bab63,79.6337,82.0618,80.00,83.19,100.00,72.9167,69.7917,81.2500,False,70.8333,66.6667,75.0000,87.5000,68.7500,62.5000,75.0000,75.0000,8,926.544,2362969,0.117629,2026-09-13T19:28:05.400187+00:00,2026-09-13T19:43:31.952596+00:00,codex-cli 0.153.4,60d2eee29c32b1daa455f5157bff0abad8dbbe053ca8c5127ffba369ac2d2f20
luna,max,legacy-reflowcore-binary-parity,legacy-reflowcore-binary-parity-416a0ccf,85.4232,89.5041,100.00,83.13,100.00,60.1732,57.2917,67.8571,False,56.2500,58.3333,54.1667,64.2857,58.3333,62.5000,54.1667,71.4286,8,1364.148,3897602,0.185160,2026-09-13T21:24:30.712799+00:00,2026-09-13T21:47:14.870439+00:00,codex-cli 0.153.4,1e17e7b44df45078c317055f6df7bf74421700159f1d4b9e9730e96bea2eb4b3
luna,max,legacy-schedcore-binary-parity,legacy-schedcore-binary-parity-a0ee79e2,88.8265,90.8754,100.00,76.11,100.00,72.2944,64.5833,92.8571,False,62.5000,54.1667,70.8333,100.0000,66.6667,62.5000,70.8333,85.7143,8,1800.832,5637091,0.248373,2026-09-13T20:54:29.744835+00:00,2026-09-13T21:24:30.583324+00:00,codex-cli 0.153.4,8a1c85bbaadfbf25c90966cab0fd10b104f18ed019dc473671fcd69a445b98cc
luna,max,legacy-settlecore-binary-parity,legacy-settlecore-binary-parity-344858fe,60.9817,63.9917,50.00,74.49,100.00,64.0909,65.6250,60.0000,False,66.6667,62.5000,70.8333,50.0000,64.5833,62.5000,66.6667,70.0000,5,1128.734,3155020,0.154279,2026-09-13T17:11:18.836958+00:00,2026-09-13T17:30:07.576949+00:00,codex-cli 0.153.4,f5c6d4b594cba89be16fcbff3c09a3c08f03a6e8e2315926c78894c17960af71
luna,max,legacy-snapcore-binary-parity,legacy-snapcore-binary-parity-387b27c5,87.7583,90.8523,100.00,82.45,100.00,67.4242,64.5833,75.0000,False,64.5833,62.5000,66.6667,75.0000,64.5833,66.6667,62.5000,75.0000,10,1018.901,3904329,0.162497,2026-09-13T19:43:32.089160+00:00,2026-09-13T20:00:30.997060+00:00,codex-cli 0.153.4,db839be497c4a026336afa44e517bdebf9d42ca8fb9f4f06079936ddae447570
luna,max,legacy-stampcore-binary-parity,legacy-stampcore-binary-parity-acad5884,87.5712,90.7291,100.00,82.35,100.00,66.8831,62.5000,78.5714,False,58.3333,50.0000,66.6667,71.4286,66.6667,66.6667,66.6667,85.7143,9,1631.678,8674600,0.307882,2026-09-13T23:11:43.200936+00:00,2026-09-13T23:38:54.890566+00:00,codex-cli 0.153.4,efb0b580d329ebbe0e412b8eed79940936a7baf15c6f497633b86369b577b6fd
luna,max,legacy-tallycore-binary-parity,legacy-tallycore-binary-parity-56536678,87.5218,90.7662,100.00,83.03,100.00,66.5584,59.3750,85.7143,False,58.3333,50.0000,66.6667,85.7143,60.4167,54.1667,66.6667,85.7143,8,3251.594,12725586,0.480160,2026-09-13T21:47:15.005933+00:00,2026-09-13T22:41:26.611226+00:00,codex-cli 0.153.4,b9c4fd35768cd8827e5b1b60f31c914704a617b6c6d19498e3de6c9802d2622f
luna,max,legacy-vaultcore-binary-parity,legacy-vaultcore-binary-parity-f1297387,86.3025,89.9385,100.00,82.13,100.00,63.0952,57.2917,78.5714,False,56.2500,50.0000,62.5000,71.4286,58.3333,58.3333,58.3333,85.7143,9,858.41,2554193,0.131317,2026-09-13T20:00:31.132307+00:00,2026-09-13T20:14:49.549070+00:00,codex-cli 0.153.4,f3619d40f6b784ea44e1cee425ed72e60c2506e79df9f6c3f94708e05f801d03
