model,effort,task,run_id,combined_33,combined_20_profile,functional_pct,automated_quality_pct,security_pct,code_quality,reviewed_score,intent_recovery,muse_reviewed,muse_readability,muse_maintainability,muse_intent_recovery,grok_reviewed,grok_readability,grok_maintainability,grok_intent_recovery,solver_fallback,duration_s,raw_tokens,estimated_usd,long_context_upper_usd,started_at,finished_at,solver_cli_version,evidence_sha256
fable,max,legacy-metercore-binary-parity,legacy-metercore-binary-parity-bb57c5d2,93.7055,94.5405,100.00,83.30,100.00,85.2273,84.3750,87.5000,85.4167,83.3333,87.5000,87.5000,83.3333,83.3333,83.3333,87.5000,False,1034.674,1743236,5.273947,5.273947,2026-09-05T01:17:44.223952+00:00,2026-09-05T01:34:58.904458+00:00,2.1.260 (Claude Code),bfc212d7ab6f087eedc7d319619af8c7963b7eacb51daa10e5039d9c394ecfd2
fable,max,legacy-pacecore-binary-parity,legacy-pacecore-binary-parity-cb2d7a82,93.9325,94.6721,100.00,83.24,100.00,85.9307,83.3333,92.8571,83.3333,79.1667,87.5000,100.0000,83.3333,83.3333,83.3333,85.7143,False,1083.17,2129276,5.888143,5.888143,2026-09-05T06:49:55.713552+00:00,2026-09-05T07:07:58.890161+00:00,2.1.260 (Claude Code),60d2a80222ce5f196e1256c0addb6e4ab795da1293a4ee35753bd48b6bd129d1
fable,max,legacy-paddockcore-binary-parity,legacy-paddockcore-binary-parity-7888207a,87.8777,87.2975,100.00,80.62,65.00,77.2727,78.1250,75.0000,79.1667,75.0000,83.3333,67.8571,77.0833,75.0000,79.1667,82.1429,False,1846.457,8330815,13.646165,13.646165,2026-09-05T09:54:15.392279+00:00,2026-09-05T10:25:01.862777+00:00,2.1.260 (Claude Code),bee2d4e442e2a2cd8ed47b1baf39e8c205f309c0059e344085e96524bcba0480
fable,max,legacy-payrollcore-binary-parity,legacy-payrollcore-binary-parity-c1cc1a21,91.3462,90.8405,100.00,85.25,75.00,84.0152,86.4583,77.5000,87.5000,83.3333,91.6667,85.0000,85.4167,83.3333,87.5000,70.0000,False,990.858,1505022,5.344412,5.344412,2026-09-05T01:01:13.235740+00:00,2026-09-05T01:17:44.099975+00:00,2.1.260 (Claude Code),7fee323c2129a1278ecf750113520f85484b4aeb26f2c02f6a90b2168b9f0187
fable,max,legacy-qlite-store-parity,legacy-qlite-store-parity-7f145cd8,92.4538,93.6351,100.00,81.81,100.00,81.8182,80.2083,86.1111,79.1667,75.0000,83.3333,83.3333,81.2500,79.1667,83.3333,88.8889,False,907.511,1664830,6.436557,6.436557,2026-09-05T00:46:05.570959+00:00,2026-09-05T01:01:13.089440+00:00,2.1.260 (Claude Code),dc5dc6a1653c276b49055497e8809db50d0e590385bb162ded5d6a670a75415f
fable,max,legacy-queuecore-binary-parity,legacy-queuecore-binary-parity-4dcb5489,90.8194,92.8199,100.00,83.59,100.00,76.4069,82.2917,60.7143,83.3333,83.3333,83.3333,50.0000,81.2500,79.1667,83.3333,71.4286,True,6085.819,18050369,22.688645,22.688645,2026-09-05T03:44:15.439146+00:00,2026-09-05T05:25:41.271420+00:00,2.1.260 (Claude Code),1e0fd0d5f62d5e9ee640f8a7f04230c6fa7086d356aafcfc87ee9a9199491df0
fable,max,legacy-quotacore-binary-parity,legacy-quotacore-binary-parity-27bba039,92.4937,93.9951,100.00,85.22,100.00,81.0606,79.1667,86.1111,81.2500,79.1667,83.3333,88.8889,77.0833,75.0000,79.1667,83.3333,False,1868.771,2713586,10.112513,10.112513,2026-09-05T02:26:28.602735+00:00,2026-09-05T02:57:37.381376+00:00,2.1.260 (Claude Code),f3ad4b602bc22f595146e325fcab133784c247f719a3926e3504299730eb6671
fable,max,legacy-reflowcore-binary-parity,legacy-reflowcore-binary-parity-7721fb02,91.0260,93.1017,100.00,85.18,100.00,76.6234,81.2500,64.2857,81.2500,79.1667,83.3333,64.2857,81.2500,79.1667,83.3333,64.2857,False,1177.96,1642102,5.887029,5.887029,2026-09-05T06:17:49.157231+00:00,2026-09-05T06:37:27.123218+00:00,2.1.260 (Claude Code),0ae0b7c16091be707268a77abd25a7b192ee9b2a536d78f3ab46de7b93152d8e
fable,max,legacy-schedcore-binary-parity,legacy-schedcore-binary-parity-fbe043e5,90.6315,90.2537,100.00,83.69,75.00,82.2511,82.2917,82.1429,77.0833,70.8333,83.3333,100.0000,87.5000,83.3333,91.6667,64.2857,False,2206.328,5224752,12.719210,12.719210,2026-09-05T05:41:02.680632+00:00,2026-09-05T06:17:49.018796+00:00,2.1.260 (Claude Code),64ecfe6299051cc3596b9960c660af45e9e173aa569535099a35fbdd960d64a0
fable,max,legacy-settlecore-binary-parity,legacy-settlecore-binary-parity-2ee0f83c,94.7727,95.1203,100.00,82.62,100.00,88.6364,89.5833,86.1111,91.6667,91.6667,91.6667,94.4444,87.5000,83.3333,91.6667,77.7778,False,1693.265,5266495,10.561928,10.561928,2026-09-05T00:01:45.636763+00:00,2026-09-05T00:29:58.913911+00:00,2.1.260 (Claude Code),54749a17506e3e1b486a1f590639c4ada4a9a17c18ddd7c75651633e759f701e
fable,max,legacy-snapcore-binary-parity,legacy-snapcore-binary-parity-c8b4ac1b,90.1005,87.9977,100.00,79.05,60.00,85.7008,88.5417,78.1250,91.6667,91.6667,91.6667,87.5000,85.4167,83.3333,87.5000,68.7500,False,1129.013,2384603,7.723022,7.723022,2026-09-05T02:57:37.511269+00:00,2026-09-05T03:16:26.532262+00:00,2.1.260 (Claude Code),b2c453d6c0cc87702e8d55abd3033566f68f38baa685552586237957f4c3725c
