model,effort,task,run_id,total_score_pct,functional_pct,automated_quality_pct,security_pct,code_quality_pct,astra_reviewer_pct,claude_reviewer_pct,solver_fallback,duration_s,raw_tokens,estimated_api_usd,astra_long_context_upper_usd,started_at,finished_at,solver_cli_version,solver_stream_sha256,patch_sha256
astra,max,legacy-hedgecore-binary-parity,legacy-hedgecore-binary-parity-81e7e27e,93.0995,100.0,81.55,90.0,86.835,93.0,80.67,False,531.35,730848,2.092864,3.7893280000000003,2026-09-05T09:55:06.297541+00:00,2026-09-05T10:03:57.652374+00:00,codex-cli 0.153.4,f495f160824e5e06517fdf5ba8fc143bbc57ff2b805a2aa93d2ae575e627abee,7d34ac605a11103121e3888c19ba69ad9429b3f40808a8ae20bc494a04f4a312
astra,max,legacy-lodgecore-binary-parity,legacy-lodgecore-binary-parity-06d096e5,90.911,100.0,76.74,80.0,87.0,92.0,82.0,False,760.554,1584764,3.885936,7.196897,2026-09-05T11:29:32.209943+00:00,2026-09-05T11:42:12.770312+00:00,codex-cli 0.153.4,08f31087f3b7d759d859d5e3f7b5baed7d09f4366149176d600a7776705fc4a2,5cb781391c5550a38d01763d13539f215458397b9de7f487926cf55b0ff7b654
astra,max,legacy-matchcore-order-book-parity,legacy-matchcore-order-book-parity-5455bdbf,91.652,100.0,79.9,80.0,88.335,94.0,82.67,False,716.243,583570,1.917988,3.439826,2026-09-05T08:20:38.115234+00:00,2026-09-05T08:32:34.363264+00:00,codex-cli 0.153.4,bbae4d7182d820613cae72f66099f82e4389b9dc512c7969f386ac6af4c91af4,03a398b77ea8537d527429716f4f34795ab964dd5e3e044a2ba1862059b1a528
astra,max,legacy-metercore-binary-parity,legacy-metercore-binary-parity-255656c6,91.809,100.0,80.06,80.0,88.99999999999999,94.0,84.0,False,513.721,566437,1.68137,2.982915,2026-09-05T08:52:54.167212+00:00,2026-09-05T09:01:27.892698+00:00,codex-cli 0.153.4,360fa0e5feaca25df5e1f14f3bc7f8d2628e274ad238c23c4a08eb6d6bd65c13,fcdabd29332bd38db9f199951fb848f54e1a8cd4a2aec3a133be4808cc84be68
astra,max,legacy-pacecore-binary-parity,legacy-pacecore-binary-parity-9499e6be,93.221,100.0,82.36,90.0,86.835,93.67,80.0,False,489.769,729615,1.975046,3.5843420000000004,2026-09-05T10:29:27.304351+00:00,2026-09-05T10:37:37.078802+00:00,codex-cli 0.153.4,c5f1145e5ca52bee69e8c34f0ef1507e8e8bef86771aa4b7ea358801967c3e79,42b4d8247eafa87a918c0f764bd3f2f8ce0dad7d0d7e53027aec36638fc58f77
astra,max,legacy-paddockcore-binary-parity,legacy-paddockcore-binary-parity-f342fcec,90.135,100.0,77.34,80.0,82.67,87.67,77.66999999999999,False,819.427,1934938,4.268676,7.960552,2026-09-05T11:53:46.160062+00:00,2026-09-05T12:07:25.591696+00:00,codex-cli 0.153.4,08b1f192ee5e2097e99c4da8d3ad84aa0ea8ba3ff899470ca869350d34d0d8ff,aec0aaa3aec5c398fc66dd8d0633334efcedb5b46b5afae4d59e326b1011009f
astra,max,legacy-payrollcore-binary-parity,legacy-payrollcore-binary-parity-9b7d33fe,93.069,100.0,82.67999999999999,90.0,85.835,93.0,78.67,False,668.2,687740,2.08152,3.664865,2026-09-05T08:41:45.800603+00:00,2026-09-05T08:52:54.005886+00:00,codex-cli 0.153.4,312409c3337122df7a7243cb159c13b69678eb37e6d16701f26e4a35f96a1cdf,7287ee52a7616c26fba1103280fd67f4ad76eb770245f38cd54f32e05d435a40
astra,max,legacy-qlite-store-parity,legacy-qlite-store-parity-43e07c57,93.2365,100.0,81.13,90.0,87.835,93.0,82.67,False,551.134,479896,1.6738,2.989625,2026-09-05T08:32:34.502124+00:00,2026-09-05T08:41:45.640324+00:00,codex-cli 0.153.4,0a59351b66b9934dfd4d3737a51d8db4ee4db5c180cacf8606ba6b4237de8ba7,85c2c95cb21f0c1133870bc84d5258a0497a6b7b83881ed2401354e35dbaf767
astra,max,legacy-queuecore-binary-parity,legacy-queuecore-binary-parity-b2a61cca,92.8305,100.0,82.65,90.0,84.665,91.0,78.33,False,615.164,550495,1.916286,3.356047,2026-09-05T09:44:50.988647+00:00,2026-09-05T09:55:06.159057+00:00,codex-cli 0.153.4,812bf14438b34881e2b165475881be031244ad777eb937eca112fb03fdc42250,eff001842d8f12636bda2614161dfb8228f239748651ad310ed62535e8004ef8
astra,max,legacy-quotacore-binary-parity,legacy-quotacore-binary-parity-ad36a562,92.9205,100.0,83.47,90.0,84.5,91.33,77.66999999999999,False,469.331,374523,1.6764700000000001,3.000715,2026-09-05T09:19:30.136877+00:00,2026-09-05T09:27:19.471918+00:00,codex-cli 0.153.4,0739a23ce68e8ac3f13105a8d2d0be6c6f85e832d271093cf5936e7639f169fb,ff96ef7b2d795a4a78f5000cbe09baadbbc12510149396b669dcccce92aac817
